Location,The bank is located in Basundhara.
Open account,You can visit the bank to open new account or apply from our bank app.
Account balance,You can check your account balance through our mobile app or by visiting the nearest ATM.
Loan inquiry,"For loan inquiries, please visit our website or contact our customer service."
Technical support,"For technical support, please call our helpline or use the chat feature in our app."
Transaction history,You can view your transaction history in the 'Transaction' section of our mobile app.
Interest rates,"You can find the current interest rates for savings accounts, loans, and fixed deposits on our website."
Branch hours,"Our branches are open from 9 AM to 5 PM, Monday to Friday."
Card replacement,"To replace a lost or stolen card, please visit the nearest branch or request a new card through our mobile app."
Online banking registration,"To register for online banking, please visit our website or download our mobile app."
Update contact information,You can update your contact information by logging into your online banking account and going to the 'Profile' section.
Close account,"To close your account, please visit your nearest branch with valid identification."
Cheque book request,You can request a cheque book through our mobile app or by visiting your nearest branch.
FD inquiry,"For Fixed Deposit inquiries, please visit our website or speak to a representative at our branch."
EMI calculation,You can calculate your EMI using the EMI calculator available on our website.
Foreign exchange rates,You can view the latest foreign exchange rates on our website or app.
Dispute transaction,"To dispute a transaction, please contact our customer service with the transaction details."
Mobile app download,Our mobile app is available for download on the Google Play Store and Apple App Store.
ATM locations,You can find the nearest ATM using the 'ATM Locator' feature on our mobile app or website.
Loan application status,"To check the status of your loan application, please log in to your online banking account or contact our customer service."
Overdraft services,"To inquire about overdraft services, please visit our website or contact your branch manager."
Credit card limit increase,"To request a credit card limit increase, please submit an application through our mobile app."
Investment options,"For information on investment options, you can schedule a consultation with our financial advisor through the website."
Account statements,You can download your account statements from the 'Statements' section in online banking.
Bill payments,"To pay bills, log in to your online banking account and go to the 'Bill Payments' section."
Recurring payments,You can set up recurring payments in the 'Payments' section of our mobile app.
Customer service contact,You can reach our customer service 24/7 at 123-456-7890 or through our online chat.
Mortgage inquiries,"For mortgage inquiries, please visit our 'Mortgage Center' on the website or speak to a representative."
Savings account interest,Current interest rates for savings accounts are available on our website or by contacting your branch.
Fixed Deposit renewal,You can renew your Fixed Deposit through our online banking platform or at your nearest branch.
International wire transfer,"To initiate an international wire transfer, please log in to your online banking account and select the 'Wire Transfer' option."
Debit card activation,You can activate your new debit card by calling our customer service or using the mobile app.
Change PIN,"To change your PIN, visit any of our ATMs or use the 'Change PIN' option in our mobile app."
Block lost card,"If you have lost your card, please block it immediately through our mobile app or by calling our helpline."
Unrecognized transaction,"If you notice an unrecognized transaction, please report it to our fraud department immediately."
Online banking password reset,"To reset your online banking password, use the 'Forgot Password' option on our login page."
Account upgrade,"To upgrade your account, please visit your nearest branch or apply online through your banking portal."
Fixed Deposit premature withdrawal,"For premature withdrawal of a Fixed Deposit, visit your branch or contact customer service for the applicable charges."
E-statement subscription,You can subscribe to e-statements by opting in through your online banking account settings.
Cashback offer details,"To know more about our current cashback offers, please visit the 'Offers' section on our website or app."
Currency conversion services,We offer currency conversion services at selected branches. Please visit or contact our branch for more details.
Credit card bill payment,"You can pay your credit card bill through our mobile app, online banking, or at any of our branches."
Loan prepayment,"For loan prepayment options and conditions, please contact your loan officer or visit the nearest branch."
Savings account minimum balance,"The minimum balance requirement for a savings account is NPR 1,000. Please maintain the balance to avoid penalties."
Mobile banking security tips,"For mobile banking security, never share your OTP and avoid using public Wi-Fi for transactions."
ATM withdrawal limits,"The daily ATM withdrawal limit is NPR 25,000. You can request a limit increase through our mobile app or at a branch."
Corporate account services,"For corporate account services, please contact our corporate banking division through online or in the bank."
Joint account requirements,"To open a joint account, both parties need to visit the branch with valid identification documents."
Mortgage rate inquiry,You can inquire about current mortgage rates by visiting our website or speaking to a mortgage specialist at any branch.
